0,0,0,48,66
0,1,0,51,68
0,2,0,48,70
0,3,0,53,71
0,4,0,54,73
0,5,0,60,67
0,6,0,62,66
0,7,0,59,60
0,8,0,62,58
0,9,0,60,65
0,10,0,59,57
0,11,0,59,56
0,12,0,57,53
0,13,0,55,54
0,13,0,64,54
0,14,0,64,53
0,15,0,63,49
0,16,0,50,46
0,17,0,58,51
0,18,0,68,63
0,19,0,78,61
0,20,0,66,45
0,21,0,71,47
0,22,0,70,44
0,23,0,64,49
0,24,0,69,56
0,25,0,78,44
0,26,0,75,49
0,27,0,73,46
0,28,0,67,56
-1,25,0,79,52
-2,25,0,69,56
-3,25,0,10000,56
-4,25,0,10000,56
-4,24,0,10000,65
-3,24,0,10000,56
-2,24,0,75,52
-1,24,0,71,48
